Strategy,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes,TeamSize
,P25,S25,1,valid,valid,NA,
,P26,S26,1,valid,valid,NA,
,P33,S33,1,valid,valid,NA,
,P34,S34,1,valid,valid,NA,
,P37,S37,1,valid,valid,NA,
,P38,S38,1,valid,valid,NA,
,P51,S51,1,valid,valid,NA,
,P52,S52,1,valid,valid,NA,
,P57,S57,1,valid,valid,NA,
,P58,S58,1,valid,valid,NA,
,P59,S59,1,valid,valid,NA,
,P60,S60,1,valid,valid,NA,
,P62,S62,1,valid,valid,NA,
,P63,S63,1,valid,valid,NA,
,P64,S64,1,valid,valid,NA,
,P65,S65,1,valid,valid,NA,
,P69,S69,1,valid,valid,NA,
,P70,S70,1,valid,valid,NA,
,P72,S72,1,valid,valid,NA,
,P74,S74,1,valid,valid,NA,
,P76,S76,1,valid,valid,NA,
,P79,S79,1,valid,valid,NA,
,P78,S78,1,valid,valid,NA,
,P80,S80,1,valid,valid,NA,
,P99,S99,1,valid,valid,NA,
,P100,S100,1,valid,valid,NA,
,P102,S102,1,valid,valid,NA,
,P103,S103,1,valid,valid,NA,
,P104,S104,1,valid,valid,NA,
,P105,S105,1,valid,valid,NA,
,P108,S108,1,valid,valid,NA,
,P110,S110,1,valid,valid,NA,
,P112,S112,1,valid,valid,NA,
,P114,S114,1,valid,valid,NA,
,P115,S115,1,valid,valid,NA,
,P116,S116,1,valid,valid,NA,
,P152,S152,1,valid,valid,NA,
,P151,S151,1,valid,valid,NA,
,P157,S157,1,experiment_error,experiment_error,"Game froze, didnt finish or take survey",
